"","L1","L2","L3","L4","L5"
"KO9402","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K12995 N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / rhamnosyltransferase [EC:2.4.1.348 2.4.1.-]"
"KO9403","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K12996 rhamnosyltransferase [EC:2.4.1.-]"
"KO9404","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K12997 rhamnosyltransferase [EC:2.4.1.-]"
"KO9405","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K12998 glucosyltransferase [EC:2.4.1.-]"
"KO9406","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K12999 glucosyltransferase [EC:2.4.1.-]"
"KO9407","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13001 mannosyltransferase [EC:2.4.1.-]"
"KO9408","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13002 glycosyltransferase [EC:2.4.1.-]"
"KO9409","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13004 galacturonosyltransferase WbtD [EC:2.4.1.-]"
"KO9410","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13005 abequosyltransferase [EC:2.4.1.60]"
"KO9411","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13007 Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]"
"KO9412","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13656 undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]"
"KO9413","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13657 alpha-1,3-mannosyltransferase [EC:2.4.1.252]"
"KO9414","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13658 beta-1,4-mannosyltransferase [EC:2.4.1.251]"
"KO9415","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13659 2-beta-glucuronyltransferase [EC:2.4.1.264]"
"KO9416","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13660 beta-1,4-glucosyltransferase [EC:2.4.1.-]"
"KO9417","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13666 UDP-GlcNAc:polypeptide alpha-N-acetylglucosaminyltransferase [EC:2.4.1.-]"
"KO9418","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13680 beta-mannan synthase [EC:2.4.1.32]"
"KO9419","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13681 xyloglucan fucosyltransferase [EC:2.4.1.-]"
"KO9420","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13683 putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]"
"KO9421","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13684 putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]"
"KO9422","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13688 cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]"
"KO9423","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13690 alpha-1,3-mannosyltransferase [EC:2.4.1.-]"
"KO9424","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13691 pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]"
"KO9425","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K13693 glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]"
"KO9426","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K14666 N-acetylglucosaminyltransferase [EC:2.4.1.-]"
"KO9427","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K15914 N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]"
"KO9428","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16555 succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]"
"KO9429","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16556 succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]"
"KO9430","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16557 succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]"
"KO9431","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16558 succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]"
"KO9432","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16562 succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]"
"KO9433","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16564 succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]"
"KO9434","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16697 teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]"
"KO9435","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16698 teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]"
"KO9436","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16699 teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]"
"KO9437","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16701 amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-]"
"KO9438","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K16703 colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]"
"KO9439","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K17248 N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.291]"
"KO9440","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K17249 GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase [EC:2.4.1.292]"
"KO9441","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K17250 GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase [EC:2.4.1.293]"
"KO9442","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K19354 heptose III glucuronosyltransferase [EC:2.4.1.-]"
"KO9443","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K19423 glycosyltransferase EpsE [EC:2.4.-.-]"
"KO9444","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K19424 glycosyltransferase EpsF [EC:2.4.-.-]"
"KO9445","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20151 alpha(1,3/1,4) fucosyltransferase [EC:2.4.1.65 2.4.1.152]"
"KO9446","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20843 hydroxyproline O-galactosyltransferase 2/3/4/5/6 [EC:2.4.1.-]"
"KO9447","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20855 beta-1,3-galactosyltransferase 1/2/3/4/5/7/8 [EC:2.4.1.-]"
"KO9448","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20867 galacturonosyltransferase 12/13/14/15 [EC:2.4.1.-]"
"KO9449","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20869 putative beta-1,4-xylosyltransferase IRX9 [EC:2.4.2.-]"
"KO9450","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20870 putative beta-1,4-xylosyltransferase IRX10 [EC:2.4.2.-]"
"KO9451","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20871 putative beta-1,4-xylosyltransferase IRX14 [EC:2.4.2.-]"
"KO9452","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20887 xyloglucan glycosyltransferase 4 [EC:2.4.1.-]"
"KO9453","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20888 xyloglucan galactosyltransferase MUR3 [EC:2.4.1.-]"
"KO9454","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20889 probable glucuronoxylan glucuronosyltransferase IRX7 [EC:2.4.1.-]"
"KO9455","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20890 xylan alpha-glucuronosyltransferase [EC:2.4.1.-]"
"KO9456","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20891 beta-glucuronosyltransferase [EC:2.4.1.-]"
"KO9457","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20892 beta-arabinofuranosyltransferase [EC:2.4.2.-]"
"KO9458","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20923 mixed-linked glucan synthase [EC:2.4.1.-]"
"KO9459","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K20924 cellulose synthase-like protein [EC:2.4.1.-]"
"KO9460","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K21304 UDP-N-acetylglucosamine---dolichyl-phosphate N-acetylglucosaminyltransferase [EC:2.4.1.153]"
"KO9461","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K21305 dolichyl N-acetyl-alpha-D-glucosaminyl phosphate 3-beta-D-2,3-diacetamido-2,3-dideoxy-beta-D-glucuronosyltransferase [EC:2.4.1.335]"
"KO9462","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K21306 dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]"
"KO9463","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K21366 O-antigen biosynthesis beta-1,3-galactosyltransferase [EC:2.4.1.122 2.4.1.-]"
"KO9464","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22708 poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase [EC:2.4.1.355]"
"KO9465","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22809 inositol phosphorylceramide glucuronosyltransferase 1 [EC:2.4.1.-]"
"KO9466","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22832 1,3-beta-glucanosyltransferase GAS1 [EC:2.4.1.-]"
"KO9467","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22834 1,3-beta-glucanosyltransferase GAS3 [EC:2.4.1.-]"
"KO9468","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22835 1,3-beta-glucanosyltransferase GAS4 [EC:2.4.1.-]"
"KO9469","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22836 1,3-beta-glucanosyltransferase GAS5 [EC:2.4.1.-]"
"KO9470","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22844 glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]"
"KO9471","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22907 polyprenyl-phospho-N-acetylgalactosaminyl synthase"
"KO9472","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K22908 mannosylglucosylglycerate synthase [EC:2.4.1.-]"
"KO9473","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23280 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]"
"KO9474","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23424 protein O-mannosyl-transferase [EC:2.4.1.-]"
"KO9475","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23683 glycosyltransferase AglD [EC:2.4.1.-]"
"KO9476","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23684 dolichol-phosphate hexosyltransferase [EC:2.4.1.-]"
"KO9477","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23686 glycosyltransferase AglE [EC:2.4.1.-]"
"KO9478","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K23869 galactan beta-1,4-galactosyltransferase [EC:2.4.1.-]"
"KO9479","KEGG","Brite Hierarchies","Protein families: metabolism","ko01003 Glycosyltransferases","K24553 C-mannosyltransferase DPY19L [EC:2.4.1.-]"
"KO9480","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins",NA
"KO9481","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K00996 undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]"
"KO9482","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K05789 chain length determinant protein (polysaccharide antigen chain regulator)"
"KO9483","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K12978 lipid A 4'-phosphatase [EC:3.1.3.-]"
"KO9484","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K12980 lipid A oxidase"
"KO9485","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K13006 UDP-perosamine 4-acetyltransferase [EC:2.3.1.-]"
"KO9486","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K13009 O-antigen polymerase [EC:2.4.1.-]"
"KO9487","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K13012 O-antigen biosynthesis protein WbqP"
"KO9488","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K13013 O-antigen biosynthesis protein WbqV"
"KO9489","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K18827 O-antigen chain-terminating methyltransferase [EC:2.1.1.- 2.1.1.294 2.7.1.181]"
"KO9490","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K19714 3-deoxy-alpha-D-manno-octulosonate 8-oxidase [EC:1.1.3.48]"
"KO9491","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K19715 8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase [EC:2.6.1.109]"
"KO9492","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K20444 O-antigen biosynthesis protein [EC:2.4.1.-]"
"KO9493","KEGG","Brite Hierarchies","Protein families: metabolism","ko01005 Lipopolysaccharide biosynthesis proteins","K20534 polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]"
"KO9494","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins",NA
"KO9495","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K03806 N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]"
"KO9496","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K03980 putative peptidoglycan lipid II flippase"
"KO9497","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K06078 murein lipoprotein"
"KO9498","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K08304 membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]"
"KO9499","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K08305 membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]"
"KO9500","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K08306 membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]"
"KO9501","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K08307 membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]"
"KO9502","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K08309 soluble lytic murein transglycosylase [EC:4.2.2.-]"
"KO9503","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K11066 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"KO9504","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K18691 membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]"
"KO9505","KEGG","Brite Hierarchies","Protein families: metabolism","ko01011 Peptidoglycan biosynthesis and degradation proteins","K21467 penicillin-binding protein 3"
"KO9506","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins",NA
"KO9507","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K00142 acyl-CoA synthetase [EC:6.2.1.-]"
"KO9508","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K00666 fatty-acyl-CoA synthase [EC:6.2.1.-]"
"KO9509","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K03822 putative long chain acyl-CoA synthase [EC:6.2.1.-]"
"KO9510","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K10225 fatty acid desaturase 3 (Delta-13 desaturase) [EC:1.14.19.-]"
"KO9511","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K10257 acyl-lipid omega-3 desaturase [EC:1.14.19.25 1.14.19.35 1.14.19.36]"
"KO9512","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K11608 beta-ketoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"KO9513","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K11609 beta-ketoacyl ACP synthase [EC:2.3.1.293 2.3.1.294]"
"KO9514","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K11610 beta-ketoacyl ACP reductase [EC:1.1.1.100]"
"KO9515","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K11611 meromycolic acid enoyl-[acyl-carrier-protein] reductase [EC:1.3.1.118]"
"KO9516","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K11628 mycocerosic acid synthase [EC:2.3.1.111]"
"KO9517","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12417 acyl-CoA thioesteraes 11 [EC:3.1.2.-]"
"KO9518","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12418 acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]"
"KO9519","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12421 fatty acid CoA ligase FadD9"
"KO9520","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12422 long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]"
"KO9521","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12423 fatty acid CoA ligase FadD21"
"KO9522","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12424 4-hydroxybenzoate adenylyltransferase [EC:6.2.1.50]"
"KO9523","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12425 long-chain fatty acid adenylase/transferase FadD23 [EC:6.2.1.57]"
"KO9524","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12426 long-chain fatty acid adenylase/transferase FadD26 [EC:6.2.1.59]"
"KO9525","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12427 long-chain fatty acid adenylyltransferase FadD28 [EC:6.2.1.49]"
"KO9526","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12428 fatty acid CoA ligase FadD32"
"KO9527","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12429 fatty acid CoA ligase FadD36"
"KO9528","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12430 4-hydroxyphenylalkanoate synthase [EC:2.3.1.261]"
"KO9529","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12431 phthioceranic/hydroxyphthioceranic acid synthase [EC:2.3.1.287]"
"KO9530","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12432 mycolipanoate synthase [EC:2.3.1.252]"
"KO9531","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12433 polyketide synthase 5"
"KO9532","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12434 polyketide synthase 7"
"KO9533","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12436 mycoketide-CoA synthase [EC:2.3.1.295]"
"KO9534","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12437 polyketide synthase 13"
"KO9535","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12440 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase A [EC:2.3.1.292]"
"KO9536","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12441 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B [EC:2.3.1.292]"
"KO9537","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12442 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C [EC:2.3.1.292]"
"KO9538","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12443 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D [EC:2.3.1.292]"
"KO9539","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12444 phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase E [EC:2.3.1.292]"
"KO9540","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12500 thioesterase III [EC:3.1.2.-]"
"KO9541","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K12507 acyl-CoA synthetase [EC:6.2.1.-]"
"KO9542","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K13611 polyketide synthase PksJ"
"KO9543","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K13612 polyketide synthase PksL"
"KO9544","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K13613 polyketide synthase PksM"
"KO9545","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K13614 polyketide synthase PksN"
"KO9546","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K13615 polyketide synthase PksR"
"KO9547","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K17361 acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]"
"KO9548","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K17362 acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]"
"KO9549","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K21059 4-hydroxyphenylalkanoate adenylyltransferase [EC:6.2.1.51]"
"KO9550","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K23617 medium-chain acyl-CoA ligase, mitochondrial [EC:6.2.1.2]"
"KO9551","KEGG","Brite Hierarchies","Protein families: metabolism","ko01004 Lipid biosynthesis proteins","K23618 acyl-activating enzyme 11/12 [EC:6.2.1.2 6.2.1.-]"
"KO9552","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins",NA
"KO9553","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K00646 malonyl-ACP decarboxylase"
"KO9554","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K12242 pyochelin biosynthesis protein PchC"
"KO9555","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14667 minimal PKS ketosynthase (KS/KS alpha) [EC:2.3.1.-]"
"KO9556","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14668 minimal PKS chain-length factor (CLF/KS beta) [EC:2.3.1.-]"
"KO9557","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14670 aromatase"
"KO9558","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14671 cyclase"
"KO9559","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14672 putative polyketide hydroxylase"
"KO9560","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K14673 putative monooxygenase"
"KO9561","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15311 polyketide biosynthesis 3-hydroxy-3-methylglutaryl-CoA synthase-like enzyme PksG"
"KO9562","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15312 polyketide biosynthesis enoyl-CoA hydratase PksH"
"KO9563","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15313 polyketide biosynthesis enoyl-CoA hydratase PksI"
"KO9564","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15321 naphtho-gamma-pyrone polyketide synthase"
"KO9565","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15327 polyketide biosynthesis malonyl-CoA-[acyl-carrier-protein] transacylase"
"KO9566","KEGG","Brite Hierarchies","Protein families: metabolism","ko01008 Polyketide biosynthesis proteins","K15328 bacillaene synthase trans-acting acyltransferase"
